"Rank","First_Name","Last_Name","Yds","Tm","Year_Start","Year_End","Hall.of.Famer","Position","Score"
1,"Tom","Brady",89214,"2TM",2000,2022,FALSE,"Quarterback",33
2,"Drew","Brees",80358,"2TM",2001,2020,FALSE,"Quarterback",28
3,"Peyton","Manning",71940,"2TM",1998,2015,TRUE,"Quarterback",28
4,"Brett","Favre",71838,"4TM",1991,2010,TRUE,"Quarterback",22
5,"Ben","Roethlisberger",64088,"pit",2004,2021,FALSE,"Quarterback",25
6,"Philip","Rivers",63440,"2TM",2004,2020,FALSE,"Quarterback",30
7,"Matt","Ryan",62792,"2TM",2008,2022,FALSE,"Quarterback",32
8,"Dan","Marino",61361,"mia",1983,1999,TRUE,"Quarterback",16
9,"Aaron","Rodgers",59055,"2TM",2005,2023,FALSE,"Quarterback",35
10,"Eli","Manning",57023,"nyg",2004,2019,FALSE,"Quarterback",39
11,"Matthew","Stafford",54850,"2TM",2009,2023,FALSE,"Quarterback",38
12,"John","Elway",51475,"den",1983,1998,TRUE,"Quarterback",29
15,"Carson","Palmer",46247,"3TM",2004,2017,FALSE,"Quarterback",26
16,"Vinny","Testaverde",46233,"7TM",1987,2007,FALSE,"Quarterback",17
17,"Drew","Bledsoe",44611,"3TM",1993,2006,FALSE,"Quarterback",36
19,"Russell","Wilson",42968,"2TM",2012,2023,FALSE,"Quarterback",28
20,"Joe","Flacco",42574,"4TM",2008,2023,FALSE,"Quarterback",27
24,"Kirk","Cousins",39471,"2TM",2012,2023,FALSE,"Quarterback",33
25,"Andy","Dalton",38511,"5TM",2011,2023,FALSE,"Quarterback",29
27,"Derek","Carr",37983,"2TM",2014,2023,FALSE,"Quarterback",20
29,"Donovan","McNabb",37276,"3TM",1999,2011,FALSE,"Quarterback",14
30,"Matt","Hasselbeck",36638,"4TM",1999,2015,FALSE,"Quarterback",29
31,"Alex","Smith",35650,"3TM",2005,2020,FALSE,"Quarterback",40
32,"Jim","Kelly",35467,"buf",1986,1996,TRUE,"Quarterback",15
33,"Jay","Cutler",35133,"3TM",2006,2017,FALSE,"Quarterback",26
34,"Ryan","Fitzpatrick",34990,"9TM",2005,2021,FALSE,"Quarterback",48
37,"Ryan","Tannehill",34393,"2TM",2012,2023,FALSE,"Quarterback",34
39,"Tony","Romo",34183,"dal",2004,2016,FALSE,"Quarterback",37
42,"Steve","Young",33124,"2TM",1985,1999,TRUE,"Quarterback",33
44,"Troy","Aikman",32942,"dal",1989,2000,TRUE,"Quarterback",29
46,"Cam","Newton",32382,"2TM",2011,2021,FALSE,"Quarterback",21
49,"Mark","Brunell",32072,"5TM",1994,2011,FALSE,"Quarterback",22
53,"Randall","Cunningham",29979,"4TM",1985,2001,FALSE,"Quarterback",15
58,"Jared","Goff",29142,"2TM",2016,2023,FALSE,"Quarterback",36
60,"Rich","Gannon",28743,"4TM",1987,2004,FALSE,"Quarterback",27
65,"Dak","Prescott",28177,"dal",2016,2023,FALSE,"Quarterback",25
66,"Terry","Bradshaw",27989,"pit",1970,1983,TRUE,"Quarterback",16
70,"Jeff","George",27602,"5TM",1990,2001,FALSE,"Quarterback",10
71,"Patrick","Mahomes",27368,"kan",2017,2023,FALSE,"Quarterback",24
78,"Matt","Schaub",25467,"4TM",2004,2020,FALSE,"Quarterback",31
85,"Daunte","Culpepper",24153,"4TM",1999,2009,FALSE,"Quarterback",18
90,"Andrew","Luck",23671,"clt",2012,2018,FALSE,"Quarterback",37
95,"Marc","Bulger",22814,"ram",2002,2009,FALSE,"Quarterback",29
99,"Michael","Vick",22464,"4TM",2001,2015,FALSE,"Quarterback",20
100,"Carson","Wentz",22129,"4TM",2016,2023,FALSE,"Quarterback",40
101,"Jameis","Winston",22104,"2TM",2015,2023,FALSE,"Quarterback",27
104,"Jeff","Blake",21711,"7TM",1992,2005,FALSE,"Quarterback",17
105,"Neil","O'Donnell",21690,"4TM",1991,2003,FALSE,"Quarterback",13
107,"Josh","Allen",21611,"buf",2018,2023,FALSE,"Quarterback",37
114,"Trent","Dilfer",20518,"5TM",1994,2007,FALSE,"Quarterback",22
116,"Aaron","Brooks",20261,"2TM",2000,2006,FALSE,"Quarterback",17
119,"Sam","Bradford",19449,"4TM",2010,2018,FALSE,"Quarterback",36
120,"Brian","Griese",19440,"4TM",1998,2008,FALSE,"Quarterback",39
121,"Chris","Miller",19320,"3TM",1987,1999,FALSE,"Quarterback",22
123,"Baker","Mayfield",19078,"4TM",2018,2023,FALSE,"Quarterback",25
130,"Kyle","Orton",18037,"5TM",2005,2014,FALSE,"Quarterback",26
131,"Chad","Pennington",17823,"2TM",2000,2010,FALSE,"Quarterback",25
132,"Josh","McCown",17731,"9TM",2002,2019,FALSE,"Quarterback",30
133,"Blake","Bortles",17649,"2TM",2014,2019,FALSE,"Quarterback",28
140,"Justin","Herbert",17127,"sdg",2020,2023,FALSE,"Quarterback",39
142,"Elvis","Grbac",16774,"3TM",1994,2001,FALSE,"Quarterback",16
143,"Jason","Campbell",16771,"5TM",2006,2014,FALSE,"Quarterback",23
144,"Deshaun","Watson",16756,"2TM",2017,2023,FALSE,"Quarterback",20
146,"Rodney","Peete",16338,"6TM",1989,2004,FALSE,"Quarterback",26
150,"David","Garrard",16003,"jax",2002,2010,FALSE,"Quarterback",14
151,"Scott","Mitchell",15692,"4TM",1991,2001,FALSE,"Quarterback",24
152,"Marcus","Mariota",15672,"4TM",2015,2023,FALSE,"Quarterback",33
154,"Jimmy","Garoppolo",15494,"3TM",2014,2023,FALSE,"Quarterback",29
155,"Mark","Sanchez",15357,"4TM",2009,2018,FALSE,"Quarterback",28
158,"Teddy","Bridgewater",15120,"6TM",2014,2023,FALSE,"Quarterback",20
160,"Lamar","Jackson",14827,"rav",2018,2023,FALSE,"Quarterback",13
161,"Kordell","Stewart",14746,"3TM",1995,2005,FALSE,"Quarterback",14
166,"David","Carr",14452,"4TM",2002,2012,FALSE,"Quarterback",24
169,"Nick","Foles",14227,"6TM",2012,2022,FALSE,"Quarterback",29
171,"Geno","Smith",14117,"4TM",2013,2023,FALSE,"Quarterback",24
172,"Joe","Burrow",14083,"cin",2020,2023,FALSE,"Quarterback",34
173,"Josh","Freeman",13873,"3TM",2009,2015,FALSE,"Quarterback",27
176,"Chad","Henne",13290,"3TM",2008,2022,FALSE,"Quarterback",22
178,"Don","Majkowski",12700,"3TM",1987,1996,FALSE,"Quarterback",21
180,"Colin","Kaepernick",12271,"sfo",2011,2016,FALSE,"Quarterback",38
181,"Mitchell","Trubisky",12177,"3TM",2017,2023,FALSE,"Quarterback",25
182,"Rick","Mirer",11969,"5TM",1993,2003,FALSE,"Quarterback",31
186,"Sam","Darnold",11774,"3TM",2018,2023,FALSE,"Quarterback",28
193,"Tim","Couch",11131,"cle",1999,2003,FALSE,"Quarterback",22
194,"Charlie","Batch",11085,"2TM",1998,2012,FALSE,"Quarterback",14
195,"Jalen","Hurts",10901,"phi",2020,2023,FALSE,"Quarterback",18
197,"Derek","Anderson",10878,"4TM",2006,2018,FALSE,"Quarterback",19
199,"Billy","Joe",10760,"5TM",1989,1999,FALSE,"Quarterback",24
202,"Byron","Leftwich",10532,"4TM",2003,2012,FALSE,"Quarterback",25
207,"Jacoby","Brissett",10350,"5TM",2016,2023,FALSE,"Quarterback",24
212,"Rex","Grossman",10232,"3TM",2003,2011,FALSE,"Quarterback",29
214,"Vince","Evans",9485,"2TM",1977,1995,FALSE,"Quarterback",8
219,"Blaine","Gabbert",9333,"6TM",2011,2023,FALSE,"Quarterback",42
221,"Robert","Griffin",9271,"3TM",2012,2020,FALSE,"Quarterback",24
223,"Vince","Young",8964,"2TM",2006,2011,FALSE,"Quarterback",6
224,"Kyle","Boller",8931,"3TM",2003,2011,FALSE,"Quarterback",27
232,"Shaun","Hill",8295,"4TM",2005,2016,FALSE,"Quarterback",25
237,"Colt","McCoy",7975,"5TM",2010,2022,FALSE,"Quarterback",25
243,"Brock","Osweiler",7418,"3TM",2012,2018,FALSE,"Quarterback",25
246,"Tarvaris","Jackson",7263,"2TM",2006,2015,FALSE,"Quarterback",19
